X1,X2,Y
31,15,0
58,16,0
37,64,1
4,100,0
84,90,0
41,78,0
86,96,0
11,67,0
2,49,0
48,14,0
36,49,1
87,24,0
53,99,0
54,91,0
63,7,0
29,76,0
39,31,1
16,97,0
84,90,0
61,85,0
5,90,0
9,61,0
99,1,0
38,18,0
41,89,0
74,24,0
74,78,0
31,32,1
68,74,1
57,77,0
25,18,0
96,71,0
41,62,1
57,7,0
75,88,0
4,10,0
57,49,1
20,88,0
72,49,1
19,23,0
3,17,0
78,88,0
28,57,1
79,8,0
94,21,0
16,11,0
46,47,1
8,62,0
40,20,0
84,76,0
15,30,0
28,22,0
2,92,0
37,43,1
22,65,0
17,79,0
6,10,0
31,17,0
32,96,0
73,62,1
83,23,0
15,6,0
11,86,0
59,89,0
2,83,0
81,98,0
6,85,0
8,6,0
11,48,0
82,22,0
23,99,0
58,59,1
26,52,1
61,28,1
41,3,0
51,10,0
80,63,0
8,95,0
55,57,1
80,75,0
30,56,1
67,52,1
60,32,1
14,20,0
91,14,0
61,21,0
63,86,0
17,92,0
78,32,0
94,77,0
98,1,0
14,29,0
83,97,0
31,89,0
97,54,0
81,58,0
17,62,0
3,28,0
69,30,1
96,16,0
34,91,0
